"","ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Awareness_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Awareness_Completed"
"1",1,"UKRN02","Full-time","Other (Please specify)","Year 1","3","Psychology BSC","Yes","Female","UKRN",1,1,0,1,1,0,1,0,1,5,1,1,0,1,1,1
"2",2,"UKRN02","Full-time","Yes","Year 1","4","Psychology","No","Female","UKRN",1,0,0,1,1,0,0,1,1,4,1,1,1,0,1,1
"3",3,"UKRN02","Full-time","Yes","Placement Year","3","BSc Psychology","Yes","Female","UKRN",1,1,0,1,0,0,0,1,1,4,1,1,0,0,0,1
"4",4,"UKRN02","Full-time","Yes","Year 1","3","Psychology with Forensic Investigation ","Yes","Female ","UKRN",1,1,0,0,1,1,0,0,1,4,1,1,0,0,0,1
"5",5,"UKRN02","Full-time","Yes","Placement Year","3","Bsc Psychology","Yes","Female","UKRN",1,1,1,0,1,1,1,0,1,6,1,0,1,0,0,1
"6",6,"UKRN02","Full-time","No","Year 1","3","BSc Psychology","Yes","female","UKRN",1,1,0,1,1,1,1,1,1,7,1,1,1,1,1,1
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"UKRN02","Full-time","Yes","Year 1","3","Psycholigy","No","female","UKRN",1,1,1,1,1,0,0,0,0,4,1,1,0,0,0,1
"9",9,"UKRN02","Full-time","Yes","Year 2","3","BSc Pyschology ","No","Female","UKRN",1,0,0,1,0,0,1,1,1,4,1,1,1,0,0,1
"10",10,"UKRN02","Full-time","Yes","Year 2","4","BSc (Hons) Psychology","No","Female ","UKRN",1,0,0,1,0,0,1,1,1,4,1,1,0,0,0,1
"11",11,"UKRN02","Full-time","Yes","Year 2","3","BsC Psychology ","No","Female ","UKRN",1,1,1,1,1,1,0,1,1,7,1,1,0,0,1,1
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"UKRN02","Full-time","Yes","Year 2","4","Psychology","Yes","Female ","UKRN",1,0,0,1,0,0,1,1,1,4,1,1,0,0,0,1
"15",15,"UKRN02","Full-time","Yes","Year 1","4","BPS Psychology ","Yes","Female ","UKRN",1,1,1,1,1,0,0,0,1,5,1,1,1,0,0,1
"16",16,"UKRN02","Full-time","Yes","Year 2","3","Psychology ","Yes","Female","UKRN",1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1
"17",17,"UKRN02","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,1
"18",18,"UKRN02","Full-time","Yes","Year 1","4","Psychology","Yes","Female","UKRN",1,1,0,0,0,0,1,1,1,4,1,1,0,0,0,1
"19",19,"UKRN02","Full-time","Yes","Year 1","3","BSc (Hons) Psychology","Yes","Female","UKRN",1,1,0,1,1,0,1,1,1,6,1,1,1,1,1,1
"20",20,"UKRN02","Full-time","Yes","Year 1","3","Psychology ","Yes","Male","UKRN",1,1,0,1,0,0,0,1,1,4,1,1,1,0,1,1
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"UKRN02","Full-time","Other (Please specify)","Year 1","3","Psychology","Yes","Female","UKRN",1,1,1,1,1,0,0,0,1,5,1,1,1,1,1,1
"24",24,"UNI02","Full-time","No","Year 2","3","BSc Psychology Hons","No","N/A","Non-UKRN",1,1,1,0,1,1,1,1,0,6,1,1,1,0,0,1
"25",25,"UNI02","Full-time","No","Year 2","3","Single honours Psychology ","Yes","Female","Non-UKRN",1,0,0,1,0,0,0,0,1,2,1,1,1,0,0,1
"26",27,"UNI02","Full-time","No","Final Year","3","Psychology ","No","Female ","Non-UKRN",1,1,1,1,1,1,1,1,1,8,1,0,0,0,0,1
"27",28,"UNI02","Full-time","No","Year 2","3","Psychology","Yes","Female ","Non-UKRN",1,1,1,1,1,1,1,1,1,8,1,1,1,0,1,1
"28",29,"UNI02","Full-time","No","Final Year","3","Psychology ","Yes","Female ","Non-UKRN",1,1,0,1,0,0,1,0,1,4,1,1,1,0,0,1
"29",30,"UNI02","Full-time","No","Final Year","3","Psychology ","Yes","Female ","Non-UKRN",1,1,1,1,0,0,1,0,1,5,1,0,0,1,0,1
"30",31,"UNI02","Full-time","No","Year 1","3","Psychology with counselling ","Yes","Female","Non-UKRN",1,1,1,1,0,0,1,1,1,6,1,0,0,0,1,1
"31",32,"UNI02","Full-time","No","Final Year","3","Bsc(hons) psychology ","Yes","Female ","Non-UKRN",1,1,1,1,1,1,1,1,1,8,1,1,0,0,0,1
"32",33,"UNI01","Full-time","No","Year 2","3","BSc (Hons) Psychology with Criminology","Yes","Female","Non-UKRN",1,0,0,1,1,1,0,0,1,4,1,0,0,0,0,1
"33",34,"UNI02","Full-time","No","Year 2","3","Psychology with clinical skills","No","Female","Non-UKRN",1,0,0,0,1,0,0,1,1,3,1,1,1,1,1,1
"34",35,"UNI01","Full-time","No","Final Year","3","Psychology with Criminology","No","Female","Non-UKRN",1,1,1,1,0,1,1,0,1,6,1,1,0,1,1,1
"35",36,"UNI02","Full-time","Yes","Year 2","3","Psychology","No","Female","Non-UKRN",1,0,0,1,0,0,0,0,1,2,1,1,0,0,0,1
"36",37,"UNI02","Full-time","No","Year 2","3","Bsc (Hons) Psychology","No","Female","Non-UKRN",1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1
"37",38,"UNI02","Full-time","Yes","Year 2","4","Forensic psychology ","No","Female ","Non-UKRN",1,1,0,1,0,1,1,1,1,6,1,1,0,1,1,1
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",40,"UNI01","Full-time","No","Year 1","3","Bsc Psychology (Hons)","Yes","Female","Non-UKRN",1,1,1,1,1,1,1,0,1,7,1,1,1,0,0,1
"40",41,"UNI02","Full-time","No","Year 2","3","Psychology with clinical skills","No","Female ","Non-UKRN",1,0,0,1,0,0,0,1,1,3,1,0,1,0,0,1
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",44,"UNI01","Full-time","No","Year 2","3","Psychology","No","Female","Non-UKRN",1,0,0,0,1,0,0,1,1,3,1,1,1,0,0,1
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",46,"UKRN07","Full-time","Yes","Final Year","4","Psychology with Professional Placement","Yes","Female","UKRN",1,1,1,1,1,0,1,1,1,7,1,1,1,1,0,1
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",48,"UKRN07","Full-time","No","Final Year","3","BSc Psychology","Yes","Female","UKRN",1,0,0,1,1,0,0,0,1,3,1,1,1,0,0,1
"47",49,"UKRN07","Full-time","Yes","Final Year","4","Psychology with Professional Placement","Yes","Male","UKRN",1,1,1,1,1,0,1,1,1,7,1,1,1,0,0,1
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",51,"UKRN07","Full-time","No","Final Year","3","Psychology with Neuroscience","Yes","Female","UKRN",1,1,0,1,1,0,0,1,1,5,1,1,1,1,1,1
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",54,"UNI04","Full-time","Other (Please specify)","Final Year","4","Psychology (with a Year Abroad)","No","Female","Non-UKRN",1,0,1,0,1,1,0,1,1,5,1,1,0,0,0,1
"53",55,"UNI04","Full-time","No","Final Year","3","BSc Psychology","Yes","Female","Non-UKRN",1,0,0,1,0,0,0,0,1,2,1,1,1,0,0,1
"54",56,"UKRN07","Full-time","No","Final Year","3","BSc Psychology (Hons) ","Yes","Female ","UKRN",1,1,1,1,0,1,1,1,1,7,1,1,1,1,1,1
"55",57,"UNI04","Full-time","Yes","Year 2","4","BSc Psychology with Placement Year","No","Male","Non-UKRN",1,0,0,1,0,0,1,1,1,4,1,1,0,0,0,1
"56",58,"UKRN02","Full-time","Yes","Year 1","4","Psychology with counselling","Yes","Female","UKRN",1,0,1,0,0,0,1,1,0,3,1,0,1,0,1,1
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",60,"UNI11","Full-time","No","Final Year","3","Psychology and child development ","Yes","Female","Non-UKRN",1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1
